date,store_nbr,transactions,city,state,type,cluster
2015-10-09,22,2412,Puyo,Pastaza,C,7
2015-10-10,22,2008,Puyo,Pastaza,C,7
2015-10-11,22,1725,Puyo,Pastaza,C,7
2015-10-12,22,1559,Puyo,Pastaza,C,7
2015-10-13,22,1312,Puyo,Pastaza,C,7
2015-10-14,22,1142,Puyo,Pastaza,C,7
2015-10-15,22,1056,Puyo,Pastaza,C,7
2015-10-16,22,1156,Puyo,Pastaza,C,7
2015-10-17,22,1285,Puyo,Pastaza,C,7
2015-10-18,22,1213,Puyo,Pastaza,C,7
2015-10-19,22,1034,Puyo,Pastaza,C,7
2015-10-20,22,947,Puyo,Pastaza,C,7
2015-10-21,22,840,Puyo,Pastaza,C,7
2015-10-22,22,793,Puyo,Pastaza,C,7
2015-10-23,22,598,Puyo,Pastaza,C,7
2015-10-24,22,1012,Puyo,Pastaza,C,7
2015-10-25,22,1050,Puyo,Pastaza,C,7
2015-10-26,22,797,Puyo,Pastaza,C,7
2015-10-27,22,791,Puyo,Pastaza,C,7
2015-10-28,22,717,Puyo,Pastaza,C,7
2015-10-29,22,683,Puyo,Pastaza,C,7
2015-10-30,22,707,Puyo,Pastaza,C,7
2015-10-31,22,980,Puyo,Pastaza,C,7
2015-11-01,22,837,Puyo,Pastaza,C,7
2015-11-02,22,728,Puyo,Pastaza,C,7
2015-11-03,22,958,Puyo,Pastaza,C,7
2015-11-04,22,816,Puyo,Pastaza,C,7
2015-11-05,22,691,Puyo,Pastaza,C,7
2015-11-06,22,709,Puyo,Pastaza,C,7
2015-11-07,22,947,Puyo,Pastaza,C,7
2015-11-08,22,960,Puyo,Pastaza,C,7
2015-11-09,22,699,Puyo,Pastaza,C,7
2015-11-10,22,654,Puyo,Pastaza,C,7
2015-11-11,22,661,Puyo,Pastaza,C,7
2015-11-12,22,569,Puyo,Pastaza,C,7
2015-11-13,22,652,Puyo,Pastaza,C,7
2015-11-14,22,748,Puyo,Pastaza,C,7
2015-11-15,22,775,Puyo,Pastaza,C,7
2015-11-16,22,667,Puyo,Pastaza,C,7
2015-11-17,22,573,Puyo,Pastaza,C,7
2015-11-18,22,603,Puyo,Pastaza,C,7
2015-11-19,22,584,Puyo,Pastaza,C,7
2015-11-20,22,578,Puyo,Pastaza,C,7
2015-11-21,22,748,Puyo,Pastaza,C,7
2015-11-22,22,741,Puyo,Pastaza,C,7
2015-11-23,22,688,Puyo,Pastaza,C,7
2015-11-24,22,597,Puyo,Pastaza,C,7
2015-11-25,22,528,Puyo,Pastaza,C,7
2015-11-26,22,517,Puyo,Pastaza,C,7
2015-11-27,22,537,Puyo,Pastaza,C,7
2015-11-28,22,716,Puyo,Pastaza,C,7
2015-11-29,22,756,Puyo,Pastaza,C,7
2015-11-30,22,646,Puyo,Pastaza,C,7
2015-12-01,22,668,Puyo,Pastaza,C,7
2015-12-02,22,720,Puyo,Pastaza,C,7
2015-12-03,22,670,Puyo,Pastaza,C,7
2015-12-04,22,630,Puyo,Pastaza,C,7
2015-12-05,22,774,Puyo,Pastaza,C,7
2015-12-06,22,815,Puyo,Pastaza,C,7
2015-12-07,22,703,Puyo,Pastaza,C,7
2015-12-08,22,668,Puyo,Pastaza,C,7
2015-12-09,22,620,Puyo,Pastaza,C,7
2015-12-10,22,698,Puyo,Pastaza,C,7
2015-12-11,22,699,Puyo,Pastaza,C,7
2015-12-12,22,733,Puyo,Pastaza,C,7
2015-12-13,22,847,Puyo,Pastaza,C,7
2015-12-14,22,723,Puyo,Pastaza,C,7
2015-12-15,22,707,Puyo,Pastaza,C,7
2015-12-16,22,738,Puyo,Pastaza,C,7
2015-12-17,22,753,Puyo,Pastaza,C,7
2015-12-18,22,727,Puyo,Pastaza,C,7
2015-12-19,22,865,Puyo,Pastaza,C,7
2015-12-20,22,1040,Puyo,Pastaza,C,7
2015-12-21,22,955,Puyo,Pastaza,C,7
2015-12-22,22,977,Puyo,Pastaza,C,7
2015-12-23,22,1053,Puyo,Pastaza,C,7
2015-12-24,22,1286,Puyo,Pastaza,C,7
2015-12-26,22,843,Puyo,Pastaza,C,7
2015-12-27,22,674,Puyo,Pastaza,C,7
2015-12-28,22,609,Puyo,Pastaza,C,7
2015-12-29,22,758,Puyo,Pastaza,C,7
2015-12-30,22,756,Puyo,Pastaza,C,7
2015-12-31,22,948,Puyo,Pastaza,C,7
2016-01-02,22,849,Puyo,Pastaza,C,7
2016-01-05,22,678,Puyo,Pastaza,C,7
2016-01-06,22,631,Puyo,Pastaza,C,7
2016-01-07,22,654,Puyo,Pastaza,C,7
2016-01-08,22,602,Puyo,Pastaza,C,7
2016-01-09,22,692,Puyo,Pastaza,C,7
2016-01-10,22,685,Puyo,Pastaza,C,7
2016-01-11,22,659,Puyo,Pastaza,C,7
2016-01-12,22,581,Puyo,Pastaza,C,7
2016-01-13,22,534,Puyo,Pastaza,C,7
2016-01-14,22,549,Puyo,Pastaza,C,7
2016-01-15,22,570,Puyo,Pastaza,C,7
2016-01-16,22,693,Puyo,Pastaza,C,7
2016-01-17,22,702,Puyo,Pastaza,C,7
2016-01-18,22,622,Puyo,Pastaza,C,7
2016-01-19,22,624,Puyo,Pastaza,C,7
2016-01-20,22,593,Puyo,Pastaza,C,7
2016-01-21,22,595,Puyo,Pastaza,C,7
2016-01-22,22,534,Puyo,Pastaza,C,7
2016-01-23,22,653,Puyo,Pastaza,C,7
2016-01-24,22,702,Puyo,Pastaza,C,7
2016-01-25,22,583,Puyo,Pastaza,C,7
2016-01-26,22,603,Puyo,Pastaza,C,7
2016-01-27,22,561,Puyo,Pastaza,C,7
2016-01-28,22,558,Puyo,Pastaza,C,7
2016-01-29,22,572,Puyo,Pastaza,C,7
2016-01-30,22,695,Puyo,Pastaza,C,7
2016-01-31,22,717,Puyo,Pastaza,C,7
2016-02-01,22,746,Puyo,Pastaza,C,7
2016-02-02,22,692,Puyo,Pastaza,C,7
2016-02-03,22,660,Puyo,Pastaza,C,7
2016-02-04,22,699,Puyo,Pastaza,C,7
2016-02-05,22,675,Puyo,Pastaza,C,7
2016-02-06,22,758,Puyo,Pastaza,C,7
2016-02-07,22,657,Puyo,Pastaza,C,7
2016-02-08,22,608,Puyo,Pastaza,C,7
2016-02-09,22,685,Puyo,Pastaza,C,7
2016-02-10,22,707,Puyo,Pastaza,C,7
2016-02-11,22,638,Puyo,Pastaza,C,7
2016-02-12,22,667,Puyo,Pastaza,C,7
2016-02-13,22,665,Puyo,Pastaza,C,7
2016-02-14,22,749,Puyo,Pastaza,C,7
2016-02-15,22,699,Puyo,Pastaza,C,7
2016-02-16,22,653,Puyo,Pastaza,C,7
2016-02-17,22,586,Puyo,Pastaza,C,7
2016-02-18,22,619,Puyo,Pastaza,C,7
2016-02-19,22,662,Puyo,Pastaza,C,7
2016-02-20,22,658,Puyo,Pastaza,C,7
2016-02-21,22,678,Puyo,Pastaza,C,7
2016-02-22,22,687,Puyo,Pastaza,C,7
2016-02-23,22,637,Puyo,Pastaza,C,7
2016-02-24,22,609,Puyo,Pastaza,C,7
2016-02-25,22,617,Puyo,Pastaza,C,7
2016-02-26,22,603,Puyo,Pastaza,C,7
2016-02-27,22,658,Puyo,Pastaza,C,7
2016-02-28,22,747,Puyo,Pastaza,C,7
2016-02-29,22,660,Puyo,Pastaza,C,7
2016-03-01,22,813,Puyo,Pastaza,C,7
2016-03-02,22,737,Puyo,Pastaza,C,7
2016-03-03,22,719,Puyo,Pastaza,C,7
2016-03-04,22,701,Puyo,Pastaza,C,7
2016-03-05,22,885,Puyo,Pastaza,C,7
2016-03-06,22,803,Puyo,Pastaza,C,7
2016-03-07,22,786,Puyo,Pastaza,C,7
2016-03-08,22,713,Puyo,Pastaza,C,7
2016-03-09,22,701,Puyo,Pastaza,C,7
2016-03-10,22,677,Puyo,Pastaza,C,7
2016-03-11,22,649,Puyo,Pastaza,C,7
2016-03-12,22,796,Puyo,Pastaza,C,7
2016-03-13,22,769,Puyo,Pastaza,C,7
2016-03-14,22,738,Puyo,Pastaza,C,7
2016-03-15,22,674,Puyo,Pastaza,C,7
2016-03-16,22,617,Puyo,Pastaza,C,7
2016-03-17,22,652,Puyo,Pastaza,C,7
2016-03-18,22,668,Puyo,Pastaza,C,7
2016-03-19,22,737,Puyo,Pastaza,C,7
2016-03-20,22,769,Puyo,Pastaza,C,7
2016-03-21,22,770,Puyo,Pastaza,C,7
2016-03-22,22,674,Puyo,Pastaza,C,7
2016-03-23,22,645,Puyo,Pastaza,C,7
2016-03-24,22,665,Puyo,Pastaza,C,7
2016-03-25,22,771,Puyo,Pastaza,C,7
2016-03-26,22,827,Puyo,Pastaza,C,7
2016-03-27,22,657,Puyo,Pastaza,C,7
2016-03-28,22,769,Puyo,Pastaza,C,7
2016-03-29,22,626,Puyo,Pastaza,C,7
2016-03-30,22,629,Puyo,Pastaza,C,7
2016-03-31,22,625,Puyo,Pastaza,C,7
2016-04-01,22,760,Puyo,Pastaza,C,7
2016-04-02,22,920,Puyo,Pastaza,C,7
2016-04-03,22,935,Puyo,Pastaza,C,7
2016-04-04,22,791,Puyo,Pastaza,C,7
2016-04-05,22,734,Puyo,Pastaza,C,7
2016-04-06,22,744,Puyo,Pastaza,C,7
2016-04-07,22,697,Puyo,Pastaza,C,7
2016-04-08,22,698,Puyo,Pastaza,C,7
2016-04-09,22,859,Puyo,Pastaza,C,7
2016-04-10,22,705,Puyo,Pastaza,C,7
2016-04-11,22,726,Puyo,Pastaza,C,7
2016-04-12,22,704,Puyo,Pastaza,C,7
2016-04-13,22,747,Puyo,Pastaza,C,7
2016-04-14,22,689,Puyo,Pastaza,C,7
2016-04-15,22,707,Puyo,Pastaza,C,7
2016-04-16,22,746,Puyo,Pastaza,C,7
2016-04-17,22,776,Puyo,Pastaza,C,7
2016-04-18,22,997,Puyo,Pastaza,C,7
2016-04-19,22,893,Puyo,Pastaza,C,7
2016-04-20,22,802,Puyo,Pastaza,C,7
2016-04-21,22,754,Puyo,Pastaza,C,7
2016-04-22,22,710,Puyo,Pastaza,C,7
2016-04-23,22,811,Puyo,Pastaza,C,7
2016-04-24,22,772,Puyo,Pastaza,C,7
2016-04-25,22,723,Puyo,Pastaza,C,7
2016-04-26,22,660,Puyo,Pastaza,C,7
2016-04-27,22,665,Puyo,Pastaza,C,7
2016-04-28,22,640,Puyo,Pastaza,C,7
2016-04-29,22,636,Puyo,Pastaza,C,7
2016-04-30,22,907,Puyo,Pastaza,C,7
2016-05-01,22,837,Puyo,Pastaza,C,7
2016-05-02,22,821,Puyo,Pastaza,C,7
2016-05-03,22,732,Puyo,Pastaza,C,7
2016-05-04,22,763,Puyo,Pastaza,C,7
2016-05-05,22,717,Puyo,Pastaza,C,7
2016-05-06,22,745,Puyo,Pastaza,C,7
2016-05-07,22,806,Puyo,Pastaza,C,7
2016-05-08,22,734,Puyo,Pastaza,C,7
2016-05-09,22,796,Puyo,Pastaza,C,7
2016-05-10,22,739,Puyo,Pastaza,C,7
2016-05-11,22,713,Puyo,Pastaza,C,7
2016-05-12,22,675,Puyo,Pastaza,C,7
2016-05-13,22,708,Puyo,Pastaza,C,7
2016-05-14,22,736,Puyo,Pastaza,C,7
2016-05-15,22,738,Puyo,Pastaza,C,7
2016-05-16,22,714,Puyo,Pastaza,C,7
2016-05-17,22,659,Puyo,Pastaza,C,7
2016-05-18,22,624,Puyo,Pastaza,C,7
2016-05-19,22,654,Puyo,Pastaza,C,7
2016-05-20,22,670,Puyo,Pastaza,C,7
2016-05-21,22,794,Puyo,Pastaza,C,7
2016-05-22,22,676,Puyo,Pastaza,C,7
2016-05-23,22,672,Puyo,Pastaza,C,7
2016-05-24,22,630,Puyo,Pastaza,C,7
2016-05-25,22,622,Puyo,Pastaza,C,7
2016-05-26,22,604,Puyo,Pastaza,C,7
2016-05-27,22,701,Puyo,Pastaza,C,7
2016-05-28,22,787,Puyo,Pastaza,C,7
2016-05-29,22,693,Puyo,Pastaza,C,7
2016-05-30,22,695,Puyo,Pastaza,C,7
2016-05-31,22,719,Puyo,Pastaza,C,7
2016-06-01,22,787,Puyo,Pastaza,C,7
2016-06-02,22,792,Puyo,Pastaza,C,7
2016-06-03,22,668,Puyo,Pastaza,C,7
2016-06-04,22,762,Puyo,Pastaza,C,7
2016-06-05,22,740,Puyo,Pastaza,C,7
2016-06-06,22,707,Puyo,Pastaza,C,7
2016-06-07,22,641,Puyo,Pastaza,C,7
2016-06-08,22,646,Puyo,Pastaza,C,7
2016-06-09,22,633,Puyo,Pastaza,C,7
2016-06-10,22,664,Puyo,Pastaza,C,7
2016-06-11,22,722,Puyo,Pastaza,C,7
2016-06-12,22,699,Puyo,Pastaza,C,7
2016-06-13,22,720,Puyo,Pastaza,C,7
2016-06-14,22,663,Puyo,Pastaza,C,7
2016-06-15,22,619,Puyo,Pastaza,C,7
2016-06-16,22,707,Puyo,Pastaza,C,7
2016-06-17,22,681,Puyo,Pastaza,C,7
2016-06-18,22,778,Puyo,Pastaza,C,7
2016-06-19,22,736,Puyo,Pastaza,C,7
2016-06-20,22,652,Puyo,Pastaza,C,7
2016-06-21,22,671,Puyo,Pastaza,C,7
2016-06-22,22,659,Puyo,Pastaza,C,7
2016-06-23,22,588,Puyo,Pastaza,C,7
2016-06-24,22,679,Puyo,Pastaza,C,7
2016-06-25,22,702,Puyo,Pastaza,C,7
2016-06-26,22,737,Puyo,Pastaza,C,7
2016-06-27,22,719,Puyo,Pastaza,C,7
2016-06-28,22,637,Puyo,Pastaza,C,7
2016-06-29,22,656,Puyo,Pastaza,C,7
2016-06-30,22,644,Puyo,Pastaza,C,7
2016-07-01,22,694,Puyo,Pastaza,C,7
2016-07-02,22,860,Puyo,Pastaza,C,7
2016-07-03,22,758,Puyo,Pastaza,C,7
2016-07-04,22,740,Puyo,Pastaza,C,7
2016-07-05,22,711,Puyo,Pastaza,C,7
2016-07-06,22,712,Puyo,Pastaza,C,7
2016-07-07,22,655,Puyo,Pastaza,C,7
2016-07-08,22,747,Puyo,Pastaza,C,7
2016-07-09,22,677,Puyo,Pastaza,C,7
2016-07-10,22,741,Puyo,Pastaza,C,7
2016-07-11,22,729,Puyo,Pastaza,C,7
2016-07-12,22,732,Puyo,Pastaza,C,7
2016-07-13,22,635,Puyo,Pastaza,C,7
2016-07-14,22,668,Puyo,Pastaza,C,7
2016-07-15,22,597,Puyo,Pastaza,C,7
2016-07-16,22,716,Puyo,Pastaza,C,7
2016-07-17,22,677,Puyo,Pastaza,C,7
2016-07-18,22,675,Puyo,Pastaza,C,7
2016-07-19,22,671,Puyo,Pastaza,C,7
2016-07-20,22,704,Puyo,Pastaza,C,7
2016-07-21,22,617,Puyo,Pastaza,C,7
2016-07-22,22,666,Puyo,Pastaza,C,7
2016-07-23,22,722,Puyo,Pastaza,C,7
2016-07-24,22,712,Puyo,Pastaza,C,7
2016-07-25,22,671,Puyo,Pastaza,C,7
2016-07-26,22,672,Puyo,Pastaza,C,7
2016-07-27,22,669,Puyo,Pastaza,C,7
2016-07-28,22,649,Puyo,Pastaza,C,7
2016-07-29,22,661,Puyo,Pastaza,C,7
2016-07-30,22,794,Puyo,Pastaza,C,7
2016-07-31,22,742,Puyo,Pastaza,C,7
2016-08-01,22,717,Puyo,Pastaza,C,7
2016-08-02,22,695,Puyo,Pastaza,C,7
2016-08-03,22,718,Puyo,Pastaza,C,7
2016-08-04,22,626,Puyo,Pastaza,C,7
2016-08-05,22,663,Puyo,Pastaza,C,7
2016-08-06,22,709,Puyo,Pastaza,C,7
2016-08-07,22,673,Puyo,Pastaza,C,7
2016-08-08,22,702,Puyo,Pastaza,C,7
2016-08-09,22,645,Puyo,Pastaza,C,7
2016-08-10,22,650,Puyo,Pastaza,C,7
2016-08-11,22,687,Puyo,Pastaza,C,7
2016-08-12,22,571,Puyo,Pastaza,C,7
2016-08-13,22,746,Puyo,Pastaza,C,7
2016-08-14,22,633,Puyo,Pastaza,C,7
2016-08-15,22,702,Puyo,Pastaza,C,7
2016-08-16,22,649,Puyo,Pastaza,C,7
2016-08-17,22,663,Puyo,Pastaza,C,7
2016-08-18,22,713,Puyo,Pastaza,C,7
2016-08-19,22,634,Puyo,Pastaza,C,7
2016-08-20,22,659,Puyo,Pastaza,C,7
2016-08-21,22,670,Puyo,Pastaza,C,7
2016-08-22,22,719,Puyo,Pastaza,C,7
2016-08-23,22,677,Puyo,Pastaza,C,7
2016-08-24,22,634,Puyo,Pastaza,C,7
2016-08-25,22,669,Puyo,Pastaza,C,7
2016-08-26,22,639,Puyo,Pastaza,C,7
2016-08-27,22,702,Puyo,Pastaza,C,7
2016-08-28,22,640,Puyo,Pastaza,C,7
2016-08-29,22,724,Puyo,Pastaza,C,7
2016-08-30,22,661,Puyo,Pastaza,C,7
2016-08-31,22,662,Puyo,Pastaza,C,7
2016-09-01,22,809,Puyo,Pastaza,C,7
2016-09-02,22,726,Puyo,Pastaza,C,7
2016-09-03,22,831,Puyo,Pastaza,C,7
2016-09-04,22,761,Puyo,Pastaza,C,7
2016-09-05,22,763,Puyo,Pastaza,C,7
2016-09-06,22,867,Puyo,Pastaza,C,7
2016-09-07,22,779,Puyo,Pastaza,C,7
2016-09-08,22,685,Puyo,Pastaza,C,7
2016-09-09,22,648,Puyo,Pastaza,C,7
2016-09-10,22,759,Puyo,Pastaza,C,7
