date,store_nbr,transactions,city,state,type,cluster
2016-09-11,22,772,Puyo,Pastaza,C,7
2016-09-12,22,824,Puyo,Pastaza,C,7
2016-09-13,22,725,Puyo,Pastaza,C,7
2016-09-14,22,614,Puyo,Pastaza,C,7
2016-09-15,22,694,Puyo,Pastaza,C,7
2016-09-16,22,649,Puyo,Pastaza,C,7
2016-09-17,22,753,Puyo,Pastaza,C,7
2016-09-18,22,749,Puyo,Pastaza,C,7
2016-09-19,22,657,Puyo,Pastaza,C,7
2016-09-20,22,718,Puyo,Pastaza,C,7
2016-09-21,22,642,Puyo,Pastaza,C,7
2016-09-22,22,610,Puyo,Pastaza,C,7
2016-09-23,22,634,Puyo,Pastaza,C,7
2016-09-24,22,746,Puyo,Pastaza,C,7
2016-09-25,22,750,Puyo,Pastaza,C,7
2016-09-26,22,706,Puyo,Pastaza,C,7
2016-09-27,22,658,Puyo,Pastaza,C,7
2016-09-28,22,658,Puyo,Pastaza,C,7
2016-09-29,22,632,Puyo,Pastaza,C,7
2016-09-30,22,668,Puyo,Pastaza,C,7
2016-10-01,22,906,Puyo,Pastaza,C,7
2016-10-02,22,861,Puyo,Pastaza,C,7
2016-10-03,22,772,Puyo,Pastaza,C,7
2016-10-04,22,761,Puyo,Pastaza,C,7
2016-10-05,22,732,Puyo,Pastaza,C,7
2016-10-06,22,726,Puyo,Pastaza,C,7
2016-10-07,22,700,Puyo,Pastaza,C,7
2016-10-08,22,775,Puyo,Pastaza,C,7
2016-10-09,22,766,Puyo,Pastaza,C,7
2016-10-10,22,654,Puyo,Pastaza,C,7
2016-10-11,22,646,Puyo,Pastaza,C,7
2016-10-12,22,661,Puyo,Pastaza,C,7
2016-10-13,22,634,Puyo,Pastaza,C,7
2016-10-14,22,692,Puyo,Pastaza,C,7
2016-10-15,22,754,Puyo,Pastaza,C,7
2016-10-16,22,814,Puyo,Pastaza,C,7
2016-10-17,22,673,Puyo,Pastaza,C,7
2016-10-18,22,672,Puyo,Pastaza,C,7
2016-10-19,22,688,Puyo,Pastaza,C,7
2016-10-20,22,702,Puyo,Pastaza,C,7
2016-10-21,22,650,Puyo,Pastaza,C,7
2016-10-22,22,768,Puyo,Pastaza,C,7
2016-10-23,22,783,Puyo,Pastaza,C,7
2016-10-24,22,690,Puyo,Pastaza,C,7
2016-10-25,22,614,Puyo,Pastaza,C,7
2016-10-26,22,633,Puyo,Pastaza,C,7
2016-10-27,22,614,Puyo,Pastaza,C,7
2016-10-28,22,569,Puyo,Pastaza,C,7
2016-10-29,22,733,Puyo,Pastaza,C,7
2016-10-30,22,657,Puyo,Pastaza,C,7
2016-10-31,22,643,Puyo,Pastaza,C,7
2016-11-01,22,721,Puyo,Pastaza,C,7
2016-11-02,22,842,Puyo,Pastaza,C,7
2016-11-03,22,714,Puyo,Pastaza,C,7
2016-11-04,22,779,Puyo,Pastaza,C,7
2016-11-05,22,819,Puyo,Pastaza,C,7
2016-11-06,22,869,Puyo,Pastaza,C,7
2016-11-07,22,755,Puyo,Pastaza,C,7
2016-11-08,22,708,Puyo,Pastaza,C,7
2016-11-09,22,672,Puyo,Pastaza,C,7
2016-11-10,22,704,Puyo,Pastaza,C,7
2016-11-11,22,673,Puyo,Pastaza,C,7
2016-11-12,22,719,Puyo,Pastaza,C,7
2016-11-13,22,762,Puyo,Pastaza,C,7
2016-11-14,22,696,Puyo,Pastaza,C,7
2016-11-15,22,730,Puyo,Pastaza,C,7
2016-11-16,22,675,Puyo,Pastaza,C,7
2016-11-17,22,621,Puyo,Pastaza,C,7
2016-11-18,22,634,Puyo,Pastaza,C,7
2016-11-19,22,791,Puyo,Pastaza,C,7
2016-11-20,22,733,Puyo,Pastaza,C,7
2016-11-21,22,753,Puyo,Pastaza,C,7
2016-11-22,22,698,Puyo,Pastaza,C,7
2016-11-23,22,706,Puyo,Pastaza,C,7
2016-11-24,22,647,Puyo,Pastaza,C,7
2016-11-25,22,692,Puyo,Pastaza,C,7
2016-11-26,22,786,Puyo,Pastaza,C,7
2016-11-27,22,818,Puyo,Pastaza,C,7
2016-11-28,22,689,Puyo,Pastaza,C,7
2016-11-29,22,689,Puyo,Pastaza,C,7
2016-11-30,22,709,Puyo,Pastaza,C,7
2016-12-01,22,819,Puyo,Pastaza,C,7
2016-12-02,22,712,Puyo,Pastaza,C,7
2016-12-03,22,769,Puyo,Pastaza,C,7
2016-12-04,22,917,Puyo,Pastaza,C,7
2016-12-05,22,898,Puyo,Pastaza,C,7
2016-12-06,22,793,Puyo,Pastaza,C,7
2016-12-07,22,807,Puyo,Pastaza,C,7
2016-12-08,22,777,Puyo,Pastaza,C,7
2016-12-09,22,730,Puyo,Pastaza,C,7
2016-12-10,22,826,Puyo,Pastaza,C,7
2016-12-11,22,843,Puyo,Pastaza,C,7
2016-12-12,22,753,Puyo,Pastaza,C,7
2016-12-13,22,768,Puyo,Pastaza,C,7
2016-12-14,22,783,Puyo,Pastaza,C,7
2016-12-15,22,813,Puyo,Pastaza,C,7
2016-12-16,22,853,Puyo,Pastaza,C,7
2016-12-17,22,906,Puyo,Pastaza,C,7
2016-12-18,22,941,Puyo,Pastaza,C,7
2016-12-19,22,843,Puyo,Pastaza,C,7
2016-12-20,22,1051,Puyo,Pastaza,C,7
2016-12-21,22,1115,Puyo,Pastaza,C,7
2016-12-22,22,1276,Puyo,Pastaza,C,7
2016-12-23,22,1193,Puyo,Pastaza,C,7
2016-12-24,22,1524,Puyo,Pastaza,C,7
2016-12-26,22,792,Puyo,Pastaza,C,7
2016-12-27,22,835,Puyo,Pastaza,C,7
2016-12-28,22,781,Puyo,Pastaza,C,7
2016-12-29,22,773,Puyo,Pastaza,C,7
2016-12-30,22,996,Puyo,Pastaza,C,7
2016-12-31,22,1106,Puyo,Pastaza,C,7
2017-01-02,22,941,Puyo,Pastaza,C,7
2017-01-03,22,951,Puyo,Pastaza,C,7
2017-01-04,22,788,Puyo,Pastaza,C,7
2017-01-05,22,754,Puyo,Pastaza,C,7
2017-01-06,22,743,Puyo,Pastaza,C,7
2017-01-07,22,780,Puyo,Pastaza,C,7
2017-01-08,22,850,Puyo,Pastaza,C,7
2017-01-09,22,781,Puyo,Pastaza,C,7
2017-01-10,22,648,Puyo,Pastaza,C,7
2017-01-11,22,800,Puyo,Pastaza,C,7
2017-01-12,22,702,Puyo,Pastaza,C,7
2017-01-13,22,660,Puyo,Pastaza,C,7
2017-01-14,22,779,Puyo,Pastaza,C,7
2017-01-15,22,794,Puyo,Pastaza,C,7
2017-01-16,22,726,Puyo,Pastaza,C,7
2017-01-17,22,704,Puyo,Pastaza,C,7
2017-01-18,22,683,Puyo,Pastaza,C,7
2017-01-19,22,637,Puyo,Pastaza,C,7
2017-01-20,22,598,Puyo,Pastaza,C,7
2017-01-21,22,796,Puyo,Pastaza,C,7
2017-01-22,22,664,Puyo,Pastaza,C,7
2017-01-23,22,781,Puyo,Pastaza,C,7
2017-01-24,22,680,Puyo,Pastaza,C,7
2017-01-25,22,663,Puyo,Pastaza,C,7
2017-01-26,22,643,Puyo,Pastaza,C,7
2017-01-27,22,667,Puyo,Pastaza,C,7
2017-01-28,22,719,Puyo,Pastaza,C,7
2017-01-29,22,769,Puyo,Pastaza,C,7
2017-01-30,22,718,Puyo,Pastaza,C,7
2017-01-31,22,746,Puyo,Pastaza,C,7
2017-02-01,22,764,Puyo,Pastaza,C,7
2017-02-02,22,772,Puyo,Pastaza,C,7
2017-02-03,22,717,Puyo,Pastaza,C,7
2017-02-04,22,760,Puyo,Pastaza,C,7
2017-02-05,22,701,Puyo,Pastaza,C,7
2017-02-06,22,702,Puyo,Pastaza,C,7
2017-02-07,22,714,Puyo,Pastaza,C,7
2017-02-08,22,711,Puyo,Pastaza,C,7
2017-02-09,22,695,Puyo,Pastaza,C,7
2017-02-10,22,628,Puyo,Pastaza,C,7
2017-02-11,22,798,Puyo,Pastaza,C,7
2017-02-12,22,677,Puyo,Pastaza,C,7
2017-02-13,22,762,Puyo,Pastaza,C,7
2017-02-14,22,860,Puyo,Pastaza,C,7
2017-02-15,22,797,Puyo,Pastaza,C,7
2017-02-16,22,565,Puyo,Pastaza,C,7
2017-02-17,22,731,Puyo,Pastaza,C,7
2017-02-18,22,800,Puyo,Pastaza,C,7
2017-02-19,22,720,Puyo,Pastaza,C,7
2017-02-20,22,686,Puyo,Pastaza,C,7
2017-02-21,22,672,Puyo,Pastaza,C,7
2017-02-22,22,695,Puyo,Pastaza,C,7
2017-02-23,22,665,Puyo,Pastaza,C,7
2017-02-24,22,734,Puyo,Pastaza,C,7
2017-02-25,22,735,Puyo,Pastaza,C,7
2017-02-26,22,720,Puyo,Pastaza,C,7
2017-02-27,22,672,Puyo,Pastaza,C,7
2017-02-28,22,763,Puyo,Pastaza,C,7
2017-03-01,22,884,Puyo,Pastaza,C,7
2017-03-02,22,802,Puyo,Pastaza,C,7
2017-03-03,22,742,Puyo,Pastaza,C,7
2017-03-04,22,863,Puyo,Pastaza,C,7
2017-03-05,22,779,Puyo,Pastaza,C,7
2017-03-06,22,789,Puyo,Pastaza,C,7
2017-03-07,22,774,Puyo,Pastaza,C,7
2017-03-08,22,827,Puyo,Pastaza,C,7
2017-03-09,22,764,Puyo,Pastaza,C,7
2017-03-10,22,711,Puyo,Pastaza,C,7
2017-03-11,22,765,Puyo,Pastaza,C,7
2017-03-12,22,790,Puyo,Pastaza,C,7
2017-03-13,22,735,Puyo,Pastaza,C,7
2017-03-14,22,716,Puyo,Pastaza,C,7
2017-03-15,22,711,Puyo,Pastaza,C,7
2017-03-16,22,712,Puyo,Pastaza,C,7
2017-03-17,22,677,Puyo,Pastaza,C,7
2017-03-18,22,708,Puyo,Pastaza,C,7
2017-03-19,22,882,Puyo,Pastaza,C,7
2017-03-20,22,841,Puyo,Pastaza,C,7
2017-03-21,22,772,Puyo,Pastaza,C,7
2017-03-22,22,762,Puyo,Pastaza,C,7
2017-03-23,22,702,Puyo,Pastaza,C,7
2017-03-24,22,672,Puyo,Pastaza,C,7
2017-03-25,22,789,Puyo,Pastaza,C,7
2017-03-26,22,791,Puyo,Pastaza,C,7
2017-03-27,22,668,Puyo,Pastaza,C,7
2017-03-28,22,700,Puyo,Pastaza,C,7
2017-03-29,22,773,Puyo,Pastaza,C,7
2017-03-30,22,728,Puyo,Pastaza,C,7
2017-03-31,22,744,Puyo,Pastaza,C,7
2017-04-01,22,973,Puyo,Pastaza,C,7
2017-04-02,22,913,Puyo,Pastaza,C,7
2017-04-03,22,846,Puyo,Pastaza,C,7
2017-04-04,22,836,Puyo,Pastaza,C,7
2017-04-05,22,761,Puyo,Pastaza,C,7
2017-04-06,22,798,Puyo,Pastaza,C,7
2017-04-07,22,768,Puyo,Pastaza,C,7
2017-04-08,22,875,Puyo,Pastaza,C,7
2017-04-09,22,783,Puyo,Pastaza,C,7
2017-04-10,22,837,Puyo,Pastaza,C,7
2017-04-11,22,866,Puyo,Pastaza,C,7
2017-04-12,22,768,Puyo,Pastaza,C,7
2017-04-13,22,756,Puyo,Pastaza,C,7
2017-04-14,22,848,Puyo,Pastaza,C,7
2017-04-15,22,831,Puyo,Pastaza,C,7
2017-04-16,22,805,Puyo,Pastaza,C,7
2017-04-17,22,819,Puyo,Pastaza,C,7
2017-04-18,22,740,Puyo,Pastaza,C,7
2017-04-19,22,793,Puyo,Pastaza,C,7
2017-04-20,22,742,Puyo,Pastaza,C,7
2017-04-21,22,768,Puyo,Pastaza,C,7
2017-04-22,22,800,Puyo,Pastaza,C,7
2017-04-23,22,821,Puyo,Pastaza,C,7
2017-04-24,22,750,Puyo,Pastaza,C,7
2017-04-25,22,725,Puyo,Pastaza,C,7
2017-04-26,22,771,Puyo,Pastaza,C,7
2017-04-27,22,719,Puyo,Pastaza,C,7
2017-04-28,22,746,Puyo,Pastaza,C,7
2017-04-29,22,961,Puyo,Pastaza,C,7
2017-04-30,22,812,Puyo,Pastaza,C,7
2017-05-01,22,954,Puyo,Pastaza,C,7
2017-05-02,22,889,Puyo,Pastaza,C,7
2017-05-03,22,823,Puyo,Pastaza,C,7
2017-05-04,22,760,Puyo,Pastaza,C,7
2017-05-05,22,640,Puyo,Pastaza,C,7
2017-05-06,22,866,Puyo,Pastaza,C,7
2017-05-07,22,839,Puyo,Pastaza,C,7
2017-05-08,22,770,Puyo,Pastaza,C,7
2017-05-09,22,758,Puyo,Pastaza,C,7
2017-05-10,22,751,Puyo,Pastaza,C,7
2017-05-11,22,754,Puyo,Pastaza,C,7
2017-05-12,22,764,Puyo,Pastaza,C,7
2017-05-13,22,933,Puyo,Pastaza,C,7
2017-05-14,22,855,Puyo,Pastaza,C,7
2017-05-15,22,701,Puyo,Pastaza,C,7
2017-05-16,22,804,Puyo,Pastaza,C,7
2017-05-17,22,742,Puyo,Pastaza,C,7
2017-05-18,22,727,Puyo,Pastaza,C,7
2017-05-19,22,807,Puyo,Pastaza,C,7
2017-05-20,22,861,Puyo,Pastaza,C,7
2017-05-21,22,789,Puyo,Pastaza,C,7
2017-05-22,22,813,Puyo,Pastaza,C,7
2017-05-23,22,686,Puyo,Pastaza,C,7
2017-05-24,22,680,Puyo,Pastaza,C,7
2017-05-25,22,681,Puyo,Pastaza,C,7
2017-05-26,22,758,Puyo,Pastaza,C,7
2017-05-27,22,847,Puyo,Pastaza,C,7
2017-05-28,22,776,Puyo,Pastaza,C,7
2017-05-29,22,819,Puyo,Pastaza,C,7
2017-05-30,22,755,Puyo,Pastaza,C,7
2017-05-31,22,862,Puyo,Pastaza,C,7
2017-06-01,22,872,Puyo,Pastaza,C,7
2017-06-02,22,810,Puyo,Pastaza,C,7
2017-06-03,22,857,Puyo,Pastaza,C,7
2017-06-04,22,955,Puyo,Pastaza,C,7
2017-06-05,22,808,Puyo,Pastaza,C,7
2017-06-06,22,833,Puyo,Pastaza,C,7
2017-06-07,22,803,Puyo,Pastaza,C,7
2017-06-08,22,742,Puyo,Pastaza,C,7
2017-06-09,22,793,Puyo,Pastaza,C,7
2017-06-10,22,813,Puyo,Pastaza,C,7
2017-06-11,22,805,Puyo,Pastaza,C,7
2017-06-12,22,784,Puyo,Pastaza,C,7
2017-06-13,22,778,Puyo,Pastaza,C,7
2017-06-14,22,756,Puyo,Pastaza,C,7
2017-06-15,22,684,Puyo,Pastaza,C,7
2017-06-16,22,751,Puyo,Pastaza,C,7
2017-06-17,22,916,Puyo,Pastaza,C,7
2017-06-18,22,823,Puyo,Pastaza,C,7
2017-06-19,22,755,Puyo,Pastaza,C,7
2017-06-20,22,726,Puyo,Pastaza,C,7
2017-06-21,22,717,Puyo,Pastaza,C,7
2017-06-22,22,724,Puyo,Pastaza,C,7
2017-06-23,22,713,Puyo,Pastaza,C,7
2017-06-24,22,791,Puyo,Pastaza,C,7
2017-06-25,22,815,Puyo,Pastaza,C,7
2017-06-26,22,789,Puyo,Pastaza,C,7
2017-06-27,22,787,Puyo,Pastaza,C,7
2017-06-28,22,747,Puyo,Pastaza,C,7
2017-06-29,22,761,Puyo,Pastaza,C,7
2017-06-30,22,852,Puyo,Pastaza,C,7
2017-07-01,22,955,Puyo,Pastaza,C,7
2017-07-02,22,857,Puyo,Pastaza,C,7
2017-07-03,22,859,Puyo,Pastaza,C,7
2017-07-04,22,864,Puyo,Pastaza,C,7
2017-07-05,22,785,Puyo,Pastaza,C,7
2017-07-06,22,769,Puyo,Pastaza,C,7
2017-07-07,22,800,Puyo,Pastaza,C,7
2017-07-08,22,820,Puyo,Pastaza,C,7
2017-07-09,22,806,Puyo,Pastaza,C,7
2017-07-10,22,783,Puyo,Pastaza,C,7
2017-07-11,22,818,Puyo,Pastaza,C,7
2017-07-12,22,734,Puyo,Pastaza,C,7
2017-07-13,22,755,Puyo,Pastaza,C,7
2017-07-14,22,796,Puyo,Pastaza,C,7
2017-07-15,22,801,Puyo,Pastaza,C,7
2017-07-16,22,800,Puyo,Pastaza,C,7
2017-07-17,22,711,Puyo,Pastaza,C,7
2017-07-18,22,693,Puyo,Pastaza,C,7
2017-07-19,22,746,Puyo,Pastaza,C,7
2017-07-20,22,740,Puyo,Pastaza,C,7
2017-07-21,22,719,Puyo,Pastaza,C,7
2017-07-22,22,768,Puyo,Pastaza,C,7
2017-07-23,22,728,Puyo,Pastaza,C,7
2017-07-24,22,766,Puyo,Pastaza,C,7
2017-07-25,22,717,Puyo,Pastaza,C,7
2017-07-26,22,697,Puyo,Pastaza,C,7
2017-07-27,22,707,Puyo,Pastaza,C,7
2017-07-28,22,786,Puyo,Pastaza,C,7
2017-07-29,22,832,Puyo,Pastaza,C,7
2017-07-30,22,770,Puyo,Pastaza,C,7
2017-07-31,22,794,Puyo,Pastaza,C,7
2017-08-01,22,772,Puyo,Pastaza,C,7
2017-08-02,22,782,Puyo,Pastaza,C,7
2017-08-03,22,783,Puyo,Pastaza,C,7
2017-08-04,22,799,Puyo,Pastaza,C,7
2017-08-05,22,731,Puyo,Pastaza,C,7
2017-08-06,22,703,Puyo,Pastaza,C,7
2017-08-07,22,724,Puyo,Pastaza,C,7
2017-08-08,22,730,Puyo,Pastaza,C,7
2017-08-09,22,734,Puyo,Pastaza,C,7
2017-08-10,22,730,Puyo,Pastaza,C,7
2017-08-11,22,701,Puyo,Pastaza,C,7
2017-08-12,22,888,Puyo,Pastaza,C,7
2017-08-13,22,701,Puyo,Pastaza,C,7
2017-08-14,22,794,Puyo,Pastaza,C,7
2017-08-15,22,766,Puyo,Pastaza,C,7
